transaction_id,timestamp,payment_method,bank,device_type,amount,status,failure_reason
TXN141594,2025-01-01 00:03:00,Wallet,SBI,Android,6690.64,SUCCESS,
TXN174339,2025-01-01 00:03:00,UPI,Kotak Bank,Android,572.49,SUCCESS,
TXN149295,2025-01-01 00:08:00,UPI,HDFC Bank,Android,1855.24,SUCCESS,
TXN153378,2025-01-01 00:08:00,UPI,SBI,Android,471.6,FAILED,OTP_TIMEOUT
TXN105726,2025-01-01 00:09:00,Net Banking,Kotak Bank,Android,3119.18,SUCCESS,
TXN124509,2025-01-01 00:11:00,Wallet,HDFC Bank,Desktop,956.95,SUCCESS,
TXN139804,2025-01-01 00:16:00,UPI,SBI,iOS,616.22,SUCCESS,
TXN166303,2025-01-01 00:16:00,UPI,Axis Bank,iOS,1996.66,FAILED,NETWORK_ERROR
TXN120154,2025-01-01 00:17:00,Debit Card,Kotak Bank,iOS,2534.1,FAILED,INSUFFICIENT_FUNDS
TXN166016,2025-01-01 00:18:00,Credit Card,Axis Bank,iOS,9970.57,SUCCESS,
TXN128530,2025-01-01 00:22:00,UPI,HDFC Bank,Android,531.62,SUCCESS,
TXN174789,2025-01-01 00:23:00,Net Banking,Kotak Bank,Android,1884.54,SUCCESS,
TXN153422,2025-01-01 00:24:00,Net Banking,ICICI Bank,Android,569.55,SUCCESS,
TXN154464,2025-01-01 00:24:00,Net Banking,SBI,iOS,111.62,SUCCESS,
TXN151202,2025-01-01 00:39:00,UPI,ICICI Bank,Desktop,420.04,SUCCESS,
TXN176975,2025-01-01 00:41:00,Wallet,HDFC Bank,Android,624.72,SUCCESS,
TXN147853,2025-01-01 00:41:00,Credit Card,Yes Bank,iOS,3392.2,SUCCESS,
TXN139713,2025-01-01 00:44:00,Debit Card,HDFC Bank,iOS,1642.35,SUCCESS,
TXN101003,2025-01-01 00:46:00,Debit Card,HDFC Bank,Android,2740.91,SUCCESS,
TXN156567,2025-01-01 00:51:00,Wallet,SBI,Desktop,838.59,SUCCESS,
TXN156527,2025-01-01 00:54:00,Wallet,ICICI Bank,Android,794.29,SUCCESS,
TXN102888,2025-01-01 00:56:00,UPI,HDFC Bank,Android,3093.03,SUCCESS,
TXN163590,2025-01-01 01:01:00,UPI,HDFC Bank,iOS,3726.52,SUCCESS,
TXN154424,2025-01-01 01:01:00,UPI,ICICI Bank,iOS,2727.59,SUCCESS,
TXN100646,2025-01-01 01:14:00,UPI,ICICI Bank,Android,3687.25,SUCCESS,
TXN102471,2025-01-01 01:17:00,Debit Card,SBI,Android,2494.02,SUCCESS,
TXN116383,2025-01-01 01:18:00,Net Banking,Axis Bank,iOS,365.88,SUCCESS,
TXN134829,2025-01-01 01:19:00,Debit Card,ICICI Bank,Android,5318.95,SUCCESS,
TXN111909,2025-01-01 01:26:00,UPI,Axis Bank,Android,546.89,SUCCESS,
TXN109613,2025-01-01 01:32:00,Debit Card,HDFC Bank,Android,579.46,SUCCESS,
TXN169819,2025-01-01 01:34:00,Credit Card,HDFC Bank,iOS,358.95,FAILED,TOKENIZATION_ERROR
TXN168950,2025-01-01 01:36:00,Credit Card,SBI,Android,3444.85,SUCCESS,
TXN116841,2025-01-01 01:40:00,UPI,Kotak Bank,Android,1696.52,FAILED,BANK_TIMEOUT
TXN141787,2025-01-01 01:48:00,Net Banking,HDFC Bank,Android,2491.24,SUCCESS,
TXN150704,2025-01-01 01:49:00,Wallet,ICICI Bank,Desktop,488.86,SUCCESS,
TXN124381,2025-01-01 01:49:00,Credit Card,ICICI Bank,Android,5172.63,SUCCESS,
TXN103775,2025-01-01 02:00:00,UPI,Kotak Bank,Android,1460.87,FAILED,GATEWAY_ERROR
TXN109512,2025-01-01 02:04:00,Credit Card,ICICI Bank,Android,5954.62,FAILED,OTP_TIMEOUT
TXN168268,2025-01-01 02:04:00,Wallet,ICICI Bank,iOS,1524.75,SUCCESS,
TXN123908,2025-01-01 02:10:00,UPI,Yes Bank,Android,428.59,SUCCESS,
TXN168956,2025-01-01 02:11:00,Credit Card,HDFC Bank,Android,2075.53,SUCCESS,
TXN150573,2025-01-01 02:17:00,Debit Card,ICICI Bank,Android,736.32,SUCCESS,
TXN131483,2025-01-01 02:18:00,Credit Card,ICICI Bank,Android,1396.94,SUCCESS,
TXN128329,2025-01-01 02:21:00,Debit Card,SBI,Android,372.47,SUCCESS,
TXN163306,2025-01-01 02:25:00,UPI,HDFC Bank,Android,7476.64,SUCCESS,
TXN107628,2025-01-01 02:26:00,UPI,Axis Bank,iOS,738.46,SUCCESS,
TXN164774,2025-01-01 02:27:00,Debit Card,Kotak Bank,Android,4760.26,SUCCESS,
TXN127581,2025-01-01 02:29:00,UPI,ICICI Bank,Android,4191.02,SUCCESS,
TXN165463,2025-01-01 02:34:00,Debit Card,HDFC Bank,Android,12356.43,SUCCESS,
TXN105986,2025-01-01 02:39:00,Credit Card,HDFC Bank,Android,176.13,SUCCESS,
TXN161961,2025-01-01 02:41:00,UPI,Yes Bank,Android,294.77,SUCCESS,
TXN116947,2025-01-01 02:43:00,UPI,ICICI Bank,Android,881.33,SUCCESS,
TXN177657,2025-01-01 02:49:00,UPI,Kotak Bank,iOS,6047.27,SUCCESS,
TXN154732,2025-01-01 02:49:00,Credit Card,SBI,iOS,329.17,SUCCESS,
TXN140300,2025-01-01 02:50:00,UPI,ICICI Bank,Desktop,1349.9,FAILED,NETWORK_ERROR
TXN117216,2025-01-01 02:52:00,Debit Card,ICICI Bank,Android,1175.45,SUCCESS,
TXN173524,2025-01-01 02:54:00,Net Banking,Kotak Bank,Android,906.73,SUCCESS,
TXN156879,2025-01-01 03:06:00,UPI,SBI,Desktop,843.06,FAILED,INSUFFICIENT_FUNDS
TXN108580,2025-01-01 03:08:00,Credit Card,ICICI Bank,Desktop,4981.47,SUCCESS,
TXN117820,2025-01-01 03:11:00,Net Banking,ICICI Bank,Android,216.39,SUCCESS,
TXN175356,2025-01-01 03:16:00,UPI,HDFC Bank,Desktop,603.09,SUCCESS,
TXN134339,2025-01-01 03:16:00,UPI,Kotak Bank,iOS,1911.0,SUCCESS,
TXN141182,2025-01-01 03:18:00,Credit Card,Axis Bank,Android,5661.96,FAILED,BANK_DECLINE
TXN142225,2025-01-01 03:22:00,Debit Card,ICICI Bank,Android,774.65,SUCCESS,
TXN155534,2025-01-01 03:27:00,UPI,Yes Bank,Android,433.98,SUCCESS,
TXN134151,2025-01-01 03:29:00,Credit Card,HDFC Bank,Android,5844.35,SUCCESS,
TXN120415,2025-01-01 03:33:00,Debit Card,HDFC Bank,Android,2320.33,SUCCESS,
TXN152102,2025-01-01 03:38:00,Debit Card,ICICI Bank,Android,1532.33,SUCCESS,
TXN114748,2025-01-01 03:42:00,Net Banking,Kotak Bank,Android,12503.92,SUCCESS,
TXN129918,2025-01-01 03:44:00,UPI,Kotak Bank,iOS,4677.92,SUCCESS,
TXN172244,2025-01-01 03:44:00,UPI,SBI,Android,888.88,SUCCESS,
TXN152808,2025-01-01 03:45:00,Debit Card,SBI,iOS,1005.7,SUCCESS,
TXN131290,2025-01-01 03:48:00,UPI,Kotak Bank,Android,5596.59,FAILED,INVALID_VPA_RESPONSE
TXN164004,2025-01-01 03:55:00,Credit Card,Yes Bank,Android,1107.29,SUCCESS,
TXN146584,2025-01-01 03:59:00,UPI,SBI,Android,2448.52,SUCCESS,
TXN165299,2025-01-01 03:59:00,UPI,Kotak Bank,Android,1889.88,SUCCESS,
TXN131130,2025-01-01 04:00:00,UPI,HDFC Bank,iOS,896.3,SUCCESS,
TXN133200,2025-01-01 04:02:00,Wallet,SBI,iOS,701.4,SUCCESS,
TXN112886,2025-01-01 04:08:00,Wallet,SBI,Android,1106.62,SUCCESS,
TXN174261,2025-01-01 04:08:00,UPI,Axis Bank,Desktop,1109.91,SUCCESS,
TXN146980,2025-01-01 04:12:00,UPI,Kotak Bank,Android,811.65,SUCCESS,
TXN124389,2025-01-01 04:18:00,Debit Card,Yes Bank,Android,2021.72,SUCCESS,
TXN164160,2025-01-01 04:19:00,UPI,Kotak Bank,Android,1412.41,SUCCESS,
TXN100193,2025-01-01 04:19:00,Credit Card,Yes Bank,Android,1727.06,SUCCESS,
TXN141424,2025-01-01 04:19:00,Net Banking,Kotak Bank,Android,6389.14,SUCCESS,
TXN159551,2025-01-01 04:22:00,UPI,HDFC Bank,iOS,474.3,SUCCESS,
TXN111881,2025-01-01 04:23:00,Credit Card,Axis Bank,Android,2165.02,SUCCESS,
TXN138893,2025-01-01 04:25:00,UPI,SBI,Android,623.93,FAILED,INSUFFICIENT_FUNDS
TXN162250,2025-01-01 04:28:00,Debit Card,ICICI Bank,iOS,622.58,SUCCESS,
TXN146087,2025-01-01 04:38:00,UPI,ICICI Bank,Android,602.21,SUCCESS,
TXN118121,2025-01-01 04:43:00,Debit Card,HDFC Bank,Desktop,464.92,SUCCESS,
TXN105505,2025-01-01 04:46:00,Debit Card,ICICI Bank,Android,5576.0,SUCCESS,
TXN146572,2025-01-01 05:01:00,Wallet,Axis Bank,iOS,93.81,SUCCESS,
TXN137710,2025-01-01 05:02:00,Net Banking,HDFC Bank,iOS,4699.75,SUCCESS,
